Date,Rain,High,Low
2014/1/1,1015,1019,1012
2014/1/2,1018,1021,1015
2014/1/3,1022,1026,1018
2014/1/4,1023,1026,1020
2014/1/5,1025,1028,1021
2014/1/6,1026,1028,1024
2014/1/7,1027,1033,1024
2014/1/8,1034,1036,1032
2014/1/9,1032,1035,1029
2014/1/10,1031,1032,1029
2014/1/11,1030,1032,1027
2014/1/12,1036,1039,1032
2014/1/13,1032,1034,1029
2014/1/14,1034,1036,1032
2014/1/15,1031,1034,1028
2014/1/16,1028,1031,1026
2014/1/17,1031,1033,1029
2014/1/18,1033,1035,1031
2014/1/19,1025,1030,1020
2014/1/20,1030,1035,1025
2014/1/21,1032,1035,1027
2014/1/22,1024,1027,1021
2014/1/23,1017,1021,1013
2014/1/24,1017,1022,1014
2014/1/25,1027,1034,1022
2014/1/26,1029,1035,1021
2014/1/27,1019,1027,1016
2014/1/28,1028,1031,1023
2014/1/29,1015,1023,1011
2014/1/30,1018,1021,1014
2014/1/31,1019,1021,1017
2014/2/1,1016,1019,1012
2014/2/2,1015,1023,1011
2014/2/3,1027,1029,1023
2014/2/4,1030,1032,1027
2014/2/5,1029,1030,1027
2014/2/6,1030,1032,1029
2014/2/7,1027,1031,1024
2014/2/8,1028,1036,1024
2014/2/9,1037,1039,1034
2014/2/10,1035,1038,1031
2014/2/11,1028,1031,1025
2014/2/12,1032,1036,1029
2014/2/13,1035,1038,1031
2014/2/14,1026,1031,1023
2014/2/15,1025,1026,1023
2014/2/16,1029,1033,1025
2014/2/17,1035,1037,1033
2014/2/18,1032,1037,1028
2014/2/19,1029,1031,1027
2014/2/20,1030,1032,1029
2014/2/21,1028,1030,1026
2014/2/22,1030,1032,1029
2014/2/23,1031,1032,1029
2014/2/24,1027,1030,1025
2014/2/25,1026,1028,1024
2014/2/26,1023,1025,1020
2014/2/27,1029,1032,1025
2014/2/28,1026,1030,1022
2014/3/1,1023,1026,1020
2014/3/2,1022,1025,1019
2014/3/3,1022,1024,1020
2014/3/4,1026,1030,1023
2014/3/5,1028,1031,1024
2014/3/6,1030,1033,1027
2014/3/7,1029,1032,1027
2014/3/8,1023,1028,1019
2014/3/9,1026,1028,1024
2014/3/10,1024,1029,1019
2014/3/11,1018,1024,1015
2014/3/12,1025,1028,1023
2014/3/13,1022,1026,1017
2014/3/14,1018,1022,1013
2014/3/15,1011,1014,1008
2014/3/16,1015,1019,1012
2014/3/17,1012,1019,1010
2014/3/18,1022,1025,1019
2014/3/19,1023,1028,1021
2014/3/20,1026,1029,1023
2014/3/21,1020,1024,1015
2014/3/22,1018,1025,1015
2014/3/23,1023,1027,1019
2014/3/24,1014,1019,1009
2014/3/25,1010,1012,1007
2014/3/26,1010,1013,1007
2014/3/27,1011,1014,1009
2014/3/28,1008,1011,1005
2014/3/29,1013,1015,1010
2014/3/30,1015,1017,1013
2014/3/31,1015,1017,1013
2014/4/1,1012,1015,1008
2014/4/2,1014,1023,1010
2014/4/3,1023,1026,1021
2014/4/4,1015,1022,1008
2014/4/5,1022,1025,1018
2014/4/6,1017,1021,1013
2014/4/7,1013,1015,1010
2014/4/8,1013,1016,1010
2014/4/9,1011,1020,1008
2014/4/10,1022,1024,1020
2014/4/11,1019,1021,1016
2014/4/12,1016,1018,1013
2014/4/13,1017,1019,1014
2014/4/14,1016,1019,1013
2014/4/15,1019,1021,1016
2014/4/16,1014,1018,1010
2014/4/17,1013,1017,1010
2014/4/18,1019,1023,1016
2014/4/19,1021,1023,1018
2014/4/20,1016,1019,1013
2014/4/21,1016,1018,1013
2014/4/22,1013,1016,1009
2014/4/23,1010,1012,1007
2014/4/24,1014,1016,1012
2014/4/25,1016,1019,1014
2014/4/26,1020,1022,1018
2014/4/27,1020,1022,1018
2014/4/28,1019,1022,1015
2014/4/29,1013,1016,1009
2014/4/30,1009,1011,1006
2014/5/1,1008,1012,1004
2014/5/2,1016,1018,1012
2014/5/3,1013,1018,1006
2014/5/4,1017,1019,1016
2014/5/5,1017,1021,1014
2014/5/6,1009,1015,1003
2014/5/7,1006,1014,1002
2014/5/8,1014,1016,1011
2014/5/9,1015,1016,1013
2014/5/10,1016,1017,1014
2014/5/11,1007,1016,1001
2014/5/12,1000,1003,998
2014/5/13,1000,1003,997
2014/5/14,1005,1008,1003
2014/5/15,1000,1003,997
2014/5/16,1007,1013,1001
2014/5/17,1012,1015,1009
2014/5/18,1008,1011,1004
2014/5/19,1004,1008,1001
2014/5/20,1004,1007,1002
2014/5/21,1005,1008,1003
2014/5/22,1006,1009,1005
2014/5/23,1010,1011,1008
2014/5/24,1008,1009,1007
2014/5/25,1006,1009,1004
2014/5/26,999,1006,993
2014/5/27,996,1001,994
2014/5/28,1000,1004,996
2014/5/29,998,1002,996
2014/5/30,1006,1008,1002
2014/5/31,1007,1010,1005
2014/6/1,1008,1012,1006
2014/6/2,1011,1013,1009
2014/6/3,1008,1009,1005
2014/6/4,1006,1008,1004
2014/6/5,1004,1006,1002
2014/6/6,1004,1005,1003
2014/6/7,1004,1006,1001
2014/6/8,1002,1004,999
2014/6/9,1005,1008,1002
2014/6/10,1009,1011,1007
2014/6/11,1010,1012,1007
2014/6/12,1006,1008,1003
2014/6/13,1007,1009,1005
2014/6/14,1006,1008,1004
2014/6/15,1004,1006,1002
2014/6/16,1002,1004,1000
2014/6/17,1002,1004,1001
2014/6/18,1003,1004,1000
2014/6/19,1004,1006,1002
2014/6/20,1007,1009,1005
